scenario_id,outer_id,repeat,fold,candidate_rank,mean_test_r2,std_test_r2,mean_train_r2,std_train_r2,elapsed_grid_seconds_for_outer_fold,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,1,1,1,28,0.33777440371837075,0.16597908585915772,0.831529558855182,0.013260329648315985,38.956488847732544,7.0,0.7,2,5,150
A_BMP_VS_all_features,1,1,1,90,0.3213944151809785,0.15010989136325137,0.7433892193870725,0.01250410163326005,38.956488847732544,7.0,0.7,2,10,50
A_BMP_VS_all_features,1,1,1,85,0.32192664770230034,0.15721307479104896,0.742558708914782,0.01646842208748,38.956488847732544,7.0,0.7,2,10,100
A_BMP_VS_all_features,1,1,1,53,0.32710471679773057,0.14832703787264237,0.7399255683330064,0.013971159739349467,38.956488847732544,7.0,0.7,2,10,150
A_BMP_VS_all_features,1,1,1,51,0.3271258909894049,0.133918827258866,0.7201747639800992,0.014859710102479674,38.956488847732544,7.0,0.7,4,2,50
A_BMP_VS_all_features,1,1,1,106,0.3189303963293313,0.13553132032648096,0.717142336764721,0.01830531153690976,38.956488847732544,7.0,0.7,4,2,100
A_BMP_VS_all_features,1,1,1,67,0.32556210772304117,0.1209733015203916,0.7154012705893134,0.015145553066592264,38.956488847732544,7.0,0.7,4,2,150
A_BMP_VS_all_features,1,1,1,51,0.3271258909894049,0.133918827258866,0.7201747639800992,0.014859710102479674,38.956488847732544,7.0,0.7,4,5,50
A_BMP_VS_all_features,1,1,1,106,0.3189303963293313,0.13553132032648096,0.717142336764721,0.01830531153690976,38.956488847732544,7.0,0.7,4,5,100
A_BMP_VS_all_features,1,1,1,67,0.32556210772304117,0.1209733015203916,0.7154012705893134,0.015145553066592264,38.956488847732544,7.0,0.7,4,5,150
A_BMP_VS_all_features,1,1,1,133,0.3128320957223962,0.14576596610803436,0.694942097396097,0.017980004424695425,38.956488847732544,7.0,0.7,4,10,50
A_BMP_VS_all_features,1,1,1,91,0.3212813575440559,0.14030022512911247,0.6920963442627887,0.019602419753649958,38.956488847732544,7.0,0.7,4,10,100
A_BMP_VS_all_features,1,1,1,78,0.32407528277454184,0.12845568011408962,0.6900833753433572,0.017045413660052924,38.956488847732544,7.0,0.7,4,10,150
A_BMP_VS_all_features,1,1,1,1,0.36272946544974954,0.1655405525871295,0.9041787852261264,0.009210800181784929,38.956488847732544,10.0,sqrt,1,2,50
A_BMP_VS_all_features,1,1,1,41,0.33221330370462876,0.17071408142860067,0.9079694125349477,0.009900301079513408,38.956488847732544,10.0,sqrt,1,2,100
A_BMP_VS_all_features,1,1,1,36,0.33560536640996114,0.17162673664309347,0.9091825514518626,0.007891937263330498,38.956488847732544,10.0,sqrt,1,2,150
